"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Niue"	160	"Bananas"	486	"Area Harvested (Ha)"	31	40	"F "
"Norway"	162	"Apples"	515	"Area Harvested (Ha)"	31	1650	"F "
"Norway"	162	"Barley"	44	"Area Harvested (Ha)"	31	153000	"F "
"Occupied Palestinian Territory"	299	"Apples"	515	"Area Harvested (Ha)"	31	260	"F "
"Occupied Palestinian Territory"	299	"Apricots"	526	"Area Harvested (Ha)"	31	460	"F "
"Occupied Palestinian Territory"	299	"Avocados"	572	"Area Harvested (Ha)"	31	13	"F "
"Occupied Palestinian Territory"	299	"Bananas"	486	"Area Harvested (Ha)"	31	270	"F "
"Occupied Palestinian Territory"	299	"Barley"	44	"Area Harvested (Ha)"	31	11000	"F "
"Oman"	221	"Bananas"	486	"Area Harvested (Ha)"	31	2300	"F "
"Oman"	221	"Barley"	44	"Area Harvested (Ha)"	31	1200	"F "
"Pakistan"	165	"Apples"	515	"Area Harvested (Ha)"	31	45730	"F "
"Pakistan"	165	"Apricots"	526	"Area Harvested (Ha)"	31	29000	"F "
"Pakistan"	165	"Bananas"	486	"Area Harvested (Ha)"	31	35000	"F "
"Pakistan"	165	"Barley"	44	"Area Harvested (Ha)"	31	93000	"  "
"Panama"	166	"Avocados"	572	"Area Harvested (Ha)"	31	1100	"F "
"Panama"	166	"Bananas"	486	"Area Harvested (Ha)"	31	12000	"F "
"Papua New Guinea"	168	"Bananas"	486	"Area Harvested (Ha)"	31	62000	"F "
"Paraguay"	169	"Apples"	515	"Area Harvested (Ha)"	31	80	"F "
"Paraguay"	169	"Avocados"	572	"Area Harvested (Ha)"	31	2300	"F "
"Paraguay"	169	"Bananas"	486	"Area Harvested (Ha)"	31	13000	"F "
"Peru"	170	"Apples"	515	"Area Harvested (Ha)"	31	10500	"F "
"Peru"	170	"Apricots"	526	"Area Harvested (Ha)"	31	70	"F "
"Peru"	170	"Artichokes"	366	"Area Harvested (Ha)"	31	4500	"F "
"Peru"	170	"Asparagus"	367	"Area Harvested (Ha)"	31	24000	"F "
"Peru"	170	"Avocados"	572	"Area Harvested (Ha)"	31	13500	"F "
"Peru"	170	"Barley"	44	"Area Harvested (Ha)"	31	155000	"F "
"Philippines"	171	"Asparagus"	367	"Area Harvested (Ha)"	31	1550	"F "
"Philippines"	171	"Avocados"	572	"Area Harvested (Ha)"	31	5500	"F "
"Philippines"	171	"Bananas"	486	"Area Harvested (Ha)"	31	430000	"F "
"Poland"	173	"Apples"	515	"Area Harvested (Ha)"	31	175400	"  "
"Poland"	173	"Apricots"	526	"Area Harvested (Ha)"	31	1700	"  "
"Poland"	173	"Barley"	44	"Area Harvested (Ha)"	31	1234300	"  "
"Portugal"	174	"Apples"	515	"Area Harvested (Ha)"	31	20700	"  "
"Portugal"	174	"Apricots"	526	"Area Harvested (Ha)"	31	600	"  "
"Portugal"	174	"Avocados"	572	"Area Harvested (Ha)"	31	11500	"F "
"Portugal"	174	"Bananas"	486	"Area Harvested (Ha)"	31	1350	"F "
"Portugal"	174	"Barley"	44	"Area Harvested (Ha)"	31	39800	"  "
"Puerto Rico"	177	"Avocados"	572	"Area Harvested (Ha)"	31	890	"F "
"Puerto Rico"	177	"Bananas"	486	"Area Harvested (Ha)"	31	2300	"F "
"Qatar"	179	"Barley"	44	"Area Harvested (Ha)"	31	1700	"F "
"Réunion"	182	"Apples"	515	"Area Harvested (Ha)"	31	20	"F "
"Réunion"	182	"Avocados"	572	"Area Harvested (Ha)"	31	30	"F "
"Réunion"	182	"Bananas"	486	"Area Harvested (Ha)"	31	1700	"F "
"Romania"	183	"Apples"	515	"Area Harvested (Ha)"	31	62897	"  "
"Romania"	183	"Apricots"	526	"Area Harvested (Ha)"	31	3501	"  "
"Romania"	183	"Barley"	44	"Area Harvested (Ha)"	31	364614	"  "
"Russian Federation"	185	"Apples"	515	"Area Harvested (Ha)"	31	370000	"F "
"Russian Federation"	185	"Apricots"	526	"Area Harvested (Ha)"	31	20000	"F "
"Russian Federation"	185	"Barley"	44	"Area Harvested (Ha)"	31	9551000	"F "
"Saint Lucia"	189	"Avocados"	572	"Area Harvested (Ha)"	31	40	"F "
"Saint Lucia"	189	"Bananas"	486	"Area Harvested (Ha)"	31	3300	"F "
"Saint Vincent and Grenadines"	191	"Apples"	515	"Area Harvested (Ha)"	31	320	"F "
"Saint Vincent and Grenadines"	191	"Bananas"	486	"Area Harvested (Ha)"	31	5100	"F "
"Samoa"	244	"Avocados"	572	"Area Harvested (Ha)"	31	40	"F "
"Samoa"	244	"Bananas"	486	"Area Harvested (Ha)"	31	4400	"F "
"Sao Tome and Principe"	193	"Bananas"	486	"Area Harvested (Ha)"	31	4500	"F "
"Saudi Arabia"	194	"Barley"	44	"Area Harvested (Ha)"	31	7500	"F "
"Senegal"	195	"Bananas"	486	"Area Harvested (Ha)"	31	1400	"F "
"Serbia"	272	"Apples"	515	"Area Harvested (Ha)"	31	37000	"F "
"Serbia"	272	"Apricots"	526	"Area Harvested (Ha)"	31	3500	"F "
"Serbia"	272	"Barley"	44	"Area Harvested (Ha)"	31	93844	"  "
"Seychelles"	196	"Bananas"	486	"Area Harvested (Ha)"	31	400	"F "
"Slovakia"	199	"Apples"	515	"Area Harvested (Ha)"	31	3200	"  "
"Slovakia"	199	"Apricots"	526	"Area Harvested (Ha)"	31	200	"  "
"Slovakia"	199	"Asparagus"	367	"Area Harvested (Ha)"	31	300	"F "
"Slovakia"	199	"Barley"	44	"Area Harvested (Ha)"	31	210697	"  "
"Slovenia"	198	"Apples"	515	"Area Harvested (Ha)"	31	2874	"  "
"Slovenia"	198	"Apricots"	526	"Area Harvested (Ha)"	31	28	"  "
"Slovenia"	198	"Barley"	44	"Area Harvested (Ha)"	31	18532	"  "
"Solomon Islands"	25	"Bananas"	486	"Area Harvested (Ha)"	31	110	"F "
"Somalia"	201	"Bananas"	486	"Area Harvested (Ha)"	31	2200	"F "
"South Africa"	202	"Apples"	515	"Area Harvested (Ha)"	31	22000	"F "
